,level_0,level_1,pred
200,8,8,4.74448299407959
201,8,9,5.503721237182617
202,8,10,6.49900484085083
203,8,11,6.679220676422119
204,8,12,6.48966121673584
205,8,13,6.196105003356934
206,8,14,5.965198516845703
207,8,15,5.492469310760498
208,8,16,5.502016544342041
209,8,17,5.665238380432129
210,8,18,5.949893951416016
211,8,19,6.033443927764893
212,8,20,6.369149684906006
213,8,21,6.4833760261535645
214,8,22,7.115508556365967
215,8,23,5.558041095733643
216,9,0,5.001445770263672
217,9,1,5.445892333984375
218,9,2,4.865116119384766
219,9,3,5.2841796875
220,9,4,5.195278167724609
221,9,5,4.981631278991699
222,9,6,5.732751369476318
223,9,7,4.9862060546875
224,9,8,3.7858705520629883
225,9,9,4.7505059242248535
226,9,10,5.145595550537109
227,9,11,5.304632663726807
228,9,12,5.4783711433410645
229,9,13,5.804951190948486
230,9,14,5.243028163909912
231,9,15,5.375020980834961
232,9,16,4.857097148895264
233,9,17,5.1581268310546875
234,9,18,5.276949405670166
235,9,19,4.572974681854248
236,9,20,4.506072521209717
237,9,21,3.683276414871216
238,9,22,4.657719135284424
239,9,23,4.031060218811035
240,10,0,2.1693994998931885
241,10,1,2.884967565536499
242,10,2,3.3676092624664307
243,10,3,2.6670751571655273
244,10,4,2.360814094543457
245,10,5,1.7170196771621704
246,10,6,1.5660176277160645
247,10,7,1.1135326623916626
248,10,8,1.6924209594726562
249,10,9,1.8171073198318481
250,10,10,2.2861297130584717
251,10,11,2.054189682006836
252,10,12,2.2337193489074707
253,10,13,3.608506202697754
254,10,14,2.6103105545043945
255,10,15,2.5784389972686768
256,10,16,2.4348151683807373
257,10,17,3.0543510913848877
258,10,18,2.6965386867523193
259,10,19,1.8875360488891602
260,10,20,1.9787877798080444
261,10,21,2.156291961669922
262,10,22,2.5429892539978027
263,10,23,2.476768970489502
264,11,0,1.6977146863937378
265,11,1,2.509338617324829
266,11,2,2.9219677448272705
267,11,3,3.169170618057251
268,11,4,3.2297067642211914
269,11,5,3.391127586364746
270,11,6,3.2676501274108887
271,11,7,3.187610387802124
272,11,8,3.293900966644287
273,11,9,3.099733829498291
274,11,10,3.566342353820801
275,11,11,3.530156373977661
276,11,12,3.6842873096466064
277,11,13,3.675619602203369
278,11,14,3.2818429470062256
279,11,15,3.3944835662841797
280,11,16,3.6175057888031006
281,11,17,3.4407448768615723
282,11,18,3.4074323177337646
283,11,19,3.247143030166626
284,11,20,3.1866068840026855
285,11,21,3.031219244003296
286,11,22,3.347792148590088
287,11,23,2.9619405269622803
288,12,0,2.2619709968566895
289,12,1,2.7220027446746826
290,12,2,2.3177294731140137
291,12,3,2.4179391860961914
292,12,4,3.1120831966400146
293,12,5,3.162263870239258
294,12,6,3.2021493911743164
295,12,7,3.3211493492126465
296,12,8,3.744692087173462
297,12,9,3.491008758544922
298,12,10,4.094295501708984
299,12,11,4.255434989929199
300,12,12,4.21406364440918
301,12,13,4.939122676849365
302,12,14,4.903130531311035
303,12,15,4.6964569091796875
304,12,16,4.734533309936523
305,12,17,4.741364479064941
306,12,18,4.726414203643799
307,12,19,5.101694107055664
308,12,20,5.000521659851074
309,12,21,4.830029487609863
310,12,22,4.568037033081055
311,12,23,5.174630165100098
312,13,0,3.891969919204712
313,13,1,5.21690034866333
314,13,2,5.198919296264648
315,13,3,4.92398738861084
316,13,4,5.23763370513916
317,13,5,5.441451549530029
318,13,6,5.422451019287109
319,13,7,5.364983558654785
320,13,8,4.585200786590576
321,13,9,4.515181064605713
322,13,10,5.003396034240723
323,13,11,4.894594669342041
324,13,12,4.977255344390869
325,13,13,4.826984882354736
326,13,14,4.578159809112549
327,13,15,4.584177017211914
328,13,16,4.589882850646973
329,13,17,4.535247325897217
330,13,18,4.482947826385498
331,13,19,4.713614463806152
332,13,20,4.703280925750732
333,13,21,4.57066535949707
334,13,22,4.613448619842529
335,13,23,4.068279266357422
336,14,0,4.322007179260254
337,14,1,4.744081020355225
338,14,2,4.168264389038086
339,14,3,3.9780924320220947
340,14,4,4.0235114097595215
341,14,5,3.7979817390441895
342,14,6,3.8690900802612305
343,14,7,4.308570384979248
344,14,8,5.078431129455566
345,14,9,5.015042781829834
346,14,10,5.814414024353027
347,14,11,5.515036582946777
348,14,12,5.210423946380615
349,14,13,5.074220657348633
350,14,14,5.501800537109375
351,14,15,5.953803062438965
352,14,16,5.607183933258057
353,14,17,5.6850972175598145
354,14,18,5.3321990966796875
355,14,19,5.589293479919434
356,14,20,5.3117876052856445
357,14,21,5.643271446228027
358,14,22,4.5329108238220215
359,14,23,4.471063613891602
360,15,0,5.659249782562256
361,15,1,5.166513919830322
362,15,2,5.209037780761719
363,15,3,5.436328887939453
364,15,4,4.906558036804199
365,15,5,3.702255964279175
366,15,6,5.264055252075195
367,15,7,4.440864086151123
368,15,8,3.007591485977173
369,15,9,4.101071357727051
370,15,10,4.3302507400512695
371,15,11,4.083393096923828
372,15,12,4.526568412780762
373,15,13,5.386444568634033
374,15,14,6.001874923706055
375,15,15,4.146115779876709
376,15,16,4.5203046798706055
377,15,17,3.155245304107666
378,15,18,3.8240652084350586
379,15,19,3.49653959274292
380,15,20,5.807821750640869
381,15,21,4.8114914894104
382,15,22,3.227227210998535
383,15,23,5.208232402801514
384,16,0,6.933518886566162
385,16,1,5.631063938140869
386,16,2,5.2266058921813965
387,16,3,3.968003034591675
388,16,4,4.903842926025391
389,16,5,3.972682476043701
390,16,6,3.3332815170288086
391,16,7,6.24056339263916
392,16,8,3.6297507286071777
393,16,9,4.114358901977539
394,16,10,3.994807720184326
395,16,11,4.232327461242676
396,16,12,4.190674781799316
397,16,13,5.823516368865967
398,16,14,5.708596229553223
399,16,15,3.7168147563934326
