,level_0,level_1,pred
174,7,6,-5.5878825187683105
175,7,7,-3.9263558387756348
176,7,8,-3.4281322956085205
177,7,9,-1.334121584892273
178,7,10,-1.6529443264007568
179,7,11,-1.721752643585205
180,7,12,-2.37941575050354
181,7,13,-2.2536163330078125
182,7,14,-2.6999621391296387
183,7,15,-3.312012195587158
184,7,16,-4.791184902191162
185,7,17,-5.2526140213012695
186,7,18,-5.361591339111328
187,7,19,-5.395895481109619
188,7,20,-6.501684188842773
189,7,21,-6.136582374572754
190,7,22,-6.267820835113525
191,7,23,-6.507461071014404
192,8,0,-2.4348862171173096
193,8,1,-1.7267234325408936
194,8,2,-2.1613245010375977
195,8,3,-5.282737731933594
196,8,4,-4.621571063995361
197,8,5,-5.362351417541504
198,8,6,-6.479857921600342
199,8,7,-5.39890718460083
200,8,8,-3.848050117492676
201,8,9,0.6075331568717957
202,8,10,1.3173129558563232
203,8,11,2.7989113330841064
204,8,12,3.6713695526123047
205,8,13,1.1831098794937134
206,8,14,-0.795246958732605
207,8,15,-0.1278536319732666
208,8,16,-0.7867012023925781
209,8,17,-0.8160548210144043
210,8,18,-0.09811115264892578
211,8,19,1.6728934049606323
212,8,20,1.2073758840560913
213,8,21,0.8108475208282471
214,8,22,-0.6827684640884399
215,8,23,-0.2276172637939453
216,9,0,0.7197235822677612
217,9,1,0.9492016434669495
218,9,2,-0.44406312704086304
219,9,3,3.715461254119873
220,9,4,5.16787576675415
221,9,5,4.659026145935059
222,9,6,4.008141994476318
223,9,7,5.051975250244141
224,9,8,0.8944684267044067
225,9,9,2.3679659366607666
226,9,10,2.5070700645446777
227,9,11,1.4144212007522583
228,9,12,1.837847352027893
229,9,13,5.612123966217041
230,9,14,4.877232074737549
231,9,15,3.5108184814453125
232,9,16,4.688106060028076
233,9,17,4.696821212768555
234,9,18,5.157830715179443
235,9,19,4.611145973205566
236,9,20,4.618311882019043
237,9,21,4.573981761932373
238,9,22,4.476207733154297
239,9,23,3.5253424644470215
240,10,0,3.717597484588623
241,10,1,3.5375418663024902
242,10,2,3.43289852142334
243,10,3,0.48838531970977783
244,10,4,-1.3107815980911255
245,10,5,-0.9729034900665283
246,10,6,-0.25054341554641724
247,10,7,-0.13664168119430542
248,10,8,-0.6328234672546387
249,10,9,-1.732884407043457
250,10,10,-1.565636396408081
251,10,11,3.270570755004883
252,10,12,3.387021064758301
253,10,13,3.4764959812164307
254,10,14,2.809675693511963
255,10,15,2.9489808082580566
256,10,16,2.8114376068115234
257,10,17,2.8883984088897705
258,10,18,3.467618703842163
259,10,19,3.421118974685669
260,10,20,2.8791871070861816
261,10,21,2.9149129390716553
262,10,22,2.9684581756591797
263,10,23,1.9163248538970947
264,11,0,1.5881820917129517
265,11,1,1.9776039123535156
266,11,2,2.3304319381713867
267,11,3,2.0757086277008057
268,11,4,1.9714370965957642
269,11,5,1.4839069843292236
270,11,6,1.6905405521392822
271,11,7,1.8731002807617188
272,11,8,1.4343531131744385
273,11,9,1.4794104099273682
274,11,10,1.6150784492492676
275,11,11,1.0869579315185547
276,11,12,1.2190489768981934
277,11,13,1.446704387664795
278,11,14,1.5689204931259155
279,11,15,0.7075343132019043
280,11,16,1.5770890712738037
281,11,17,1.9770746231079102
282,11,18,1.6900215148925781
283,11,19,1.4484753608703613
284,11,20,1.5063729286193848
285,11,21,1.6697709560394287
286,11,22,1.1844956874847412
287,11,23,1.3002793788909912
288,12,0,1.3045480251312256
289,12,1,1.401809811592102
290,12,2,1.4852538108825684
291,12,3,1.5107090473175049
292,12,4,1.333700180053711
293,12,5,1.2118608951568604
294,12,6,1.1751148700714111
295,12,7,1.2262322902679443
296,12,8,0.8678878545761108
297,12,9,0.7314702868461609
298,12,10,1.0639491081237793
299,12,11,1.0801429748535156
300,12,12,0.918655276298523
301,12,13,1.2116069793701172
302,12,14,1.1464234590530396
303,12,15,1.0460671186447144
