,level_0,level_1,pred
96,4,0,1005.120361328125
97,4,1,1004.9752807617188
98,4,2,1002.7879638671875
99,4,3,1004.6630859375
100,4,4,1005.9940185546875
101,4,5,999.8638305664062
102,4,6,1004.4776611328125
103,4,7,1002.7241821289062
104,4,8,1007.3832397460938
105,4,9,1009.3501586914062
106,4,10,1011.1746215820312
107,4,11,1013.1966552734375
108,4,12,1007.8460693359375
109,4,13,1003.118896484375
110,4,14,1007.7250366210938
111,4,15,1012.9209594726562
112,4,16,1014.0068359375
113,4,17,1013.447998046875
114,4,18,1011.8966064453125
115,4,19,1015.3029174804688
116,4,20,1016.681640625
117,4,21,1007.0089721679688
118,4,22,1000.871337890625
119,4,23,1000.8759765625
120,5,0,1022.0640258789062
121,5,1,1014.6192016601562
122,5,2,1017.2044067382812
123,5,3,1015.6705322265625
124,5,4,1013.312255859375
125,5,5,1010.7619018554688
126,5,6,1011.4258422851562
127,5,7,1013.6163940429688
128,5,8,1013.9506225585938
129,5,9,1014.115234375
130,5,10,1015.1891479492188
131,5,11,1006.5767822265625
132,5,12,1006.9586181640625
133,5,13,1012.2646484375
134,5,14,1014.0533447265625
135,5,15,1013.4114379882812
136,5,16,1018.3278198242188
137,5,17,1014.1505737304688
138,5,18,1013.9119262695312
139,5,19,1017.1707763671875
140,5,20,1016.1779174804688
141,5,21,1012.8536376953125
142,5,22,1010.8214721679688
143,5,23,1014.1498413085938
144,6,0,1016.4761352539062
145,6,1,1020.615478515625
146,6,2,1016.0936889648438
147,6,3,1015.2938232421875
148,6,4,1014.253662109375
149,6,5,1017.4420166015625
150,6,6,1015.0590209960938
151,6,7,1017.0035400390625
152,6,8,1015.9280395507812
153,6,9,1017.6763916015625
154,6,10,1018.634033203125
155,6,11,1022.5172729492188
156,6,12,1020.837158203125
157,6,13,1021.0994262695312
158,6,14,1020.9020385742188
159,6,15,1025.0185546875
160,6,16,1025.86181640625
161,6,17,1023.9048461914062
162,6,18,1015.0348510742188
163,6,19,1020.9103393554688
164,6,20,1024.7603759765625
165,6,21,1026.1671142578125
166,6,22,1026.66015625
167,6,23,1024.6588134765625
168,7,0,1027.4779052734375
169,7,1,1026.391845703125
170,7,2,1024.8843994140625
171,7,3,1029.960205078125
172,7,4,1025.094482421875
173,7,5,1021.0841674804688
174,7,6,1017.6754150390625
175,7,7,1021.0026245117188
176,7,8,1021.571533203125
177,7,9,1023.1685180664062
178,7,10,1024.57470703125
179,7,11,1025.3780517578125
180,7,12,1030.2802734375
181,7,13,1026.759033203125
182,7,14,1029.560302734375
183,7,15,1027.45751953125
184,7,16,1027.359130859375
185,7,17,1029.5238037109375
186,7,18,1025.6439208984375
187,7,19,1026.75244140625
188,7,20,1030.41015625
189,7,21,1034.7432861328125
190,7,22,1034.4818115234375
191,7,23,1030.0760498046875
192,8,0,1030.984375
193,8,1,1028.4307861328125
194,8,2,1018.5299072265625
195,8,3,1022.4707641601562
196,8,4,1018.6248168945312
197,8,5,1029.11376953125
198,8,6,1009.4798583984375
199,8,7,1012.2431640625
200,8,8,1026.2655029296875
201,8,9,1026.90673828125
202,8,10,1019.1234741210938
203,8,11,1009.0274658203125
204,8,12,1016.391357421875
205,8,13,1015.5156860351562
206,8,14,1015.077392578125
207,8,15,1009.974853515625
208,8,16,1012.827880859375
209,8,17,1015.9940185546875
210,8,18,1016.1297607421875
211,8,19,1013.033935546875
212,8,20,1016.3576049804688
213,8,21,1014.85791015625
214,8,22,1014.500244140625
